"term","i.Est","i.SE","i.p.value","s.Est","s.SE","s.p.value","r.Est","r.SE","r.p.value"
"(Intercept)",3.379,0.639,0,34.096,4.726,0,199.063,69.605,0.005
"model_typemode-shift",3.615,0.124,0.057,38.524,0.848,0,198.692,6.339,0.953
