N	trait_mean	trait_var	age_MY	tsID	age_MY_min	age_MY_max
10	0.61304	0.018759411	2.64984	343	NA	NA
33	0.6187	0.020361863	2.83424	343	NA	NA
6	0.52911	0.028454629	3.13344	343	NA	NA
15	0.50877	0.015368561	3.38704	343	NA	NA
7	0.49996	0.008225583	3.66344	343	NA	NA
10	0.45346	0.013291784	4.26264	343	NA	NA
9	0.5023	0.036223606	4.60824	343	NA	NA
9	0.60314	0.006275808	4.81584	343	NA	NA
10	0.51636	0.018756672	5.23024	343	NA	NA
34	0.57973	0.005616004	5.39184	343	NA	NA
9	0.49593	0.013301009	5.64504	343	NA	NA
22	0.47567	0.013983063	5.76024	343	NA	NA
67	0.46115	0.006364848	5.92184	343	NA	NA
7	0.38129	0.063224588	9.35464	343	NA	NA
12	1.5454	0.14760964	0	342	NA	NA
13	1.3061	0.07789681	0.80452	342	NA	NA
12	1.2542	0.155433063	0.91972	342	NA	NA
8	1.5016	0.074720223	1.08052	342	NA	NA
7	1.2108	0.038278923	1.33332	342	NA	NA
21	1.4842	0.08958049	1.44812	342	NA	NA
10	1.4265	0.06558721	1.63212	342	NA	NA
11	1.4149	0.036614823	1.77012	342	NA	NA
28	1.4492	0.09394225	2.13812	342	NA	NA
10	1.4374	0.09480241	2.59772	342	NA	NA
33	1.4891	0.053661723	2.80452	342	NA	NA
6	1.4803	0.008751602	3.05732	342	NA	NA
14	1.414	0.026422503	3.31052	342	NA	NA
6	1.2901	0.093917732	3.56332	342	NA	NA
10	1.4423	0.09928801	4.18372	342	NA	NA
9	1.4939	0.055013703	4.55172	342	NA	NA
9	1.5571	0.10297681	4.75852	342	NA	NA
10	1.2892	0.028815063	5.10332	342	NA	NA
32	1.4474	0.055672403	5.33332	342	NA	NA
6	1.43	0.006724	5.54012	342	NA	NA
21	1.3378	0.062675123	5.67812	342	NA	NA
62	1.3435	0.048466023	5.83892	342	NA	NA
7	1.2293	0.081996323	9.21852	342	NA	NA
9	0.92794	0.012889061	0	341	NA	NA
12	0.93075	0.028249206	0.1836	341	NA	NA
8	1.0399	0.007186801	0.298	341	NA	NA
7	0.97373	0.030222084	0.5272	341	NA	NA
14	0.99092	0.005163141	0.6648	341	NA	NA
8	1.0052	0.006246531	0.8484	341	NA	NA
9	1.0167	0.035978502	1.0088	341	NA	NA
25	1.0481	0.033295301	1.3524	341	NA	NA
8	1.0997	0.011612218	1.8108	341	NA	NA
28	1.0192	0.004562327	1.9716	341	NA	NA
6	0.99609	0.00330395	2.2696	341	NA	NA
11	0.99597	0.00819025	2.5904	341	NA	NA
9	0.90947	0.018630885	3.4156	341	NA	NA
8	0.94936	0.014572111	4.3556	341	NA	NA
20	1.0125	0.00185761	4.5848	341	NA	NA
9	0.95204	0.044009746	4.9056	341	NA	NA
