"term","i.Est","i.SE","i.p.value","s.Est","s.SE","s.p.value","r.Est","r.SE","r.p.value"
"(Intercept)",3.793,0.599,0,33.052,4.361,0,171.507,63.961,0.009
"model_typemode shift",3.976,0.144,0.207,37.403,0.841,0,171.979,6.551,0.943
