"term","i.Est","i.SE","i.p.value","s.Est","s.SE","s.p.value","r.Est","r.SE","r.p.value"
"(Intercept)",4.006,0.556,0,21.804,2.769,0,515.449,1280.911,0.688
"model_adequateURW",4.134,0.159,0.418,22.297,0.807,0.541,-65.831,1506.5,0.7
"model_adequateGRW",4.082,0.215,0.724,20.247,1.096,0.156,6074.267,2021.667,0.006
"model_adequateaccel",4.216,0.296,0.479,22.243,1.509,0.771,575.974,2976.59,0.984
"model_adequatedecel",4.189,0.318,0.565,27.455,1.619,0.001,905.239,3284.339,0.906
"model_adequateOU",4.321,0.23,0.172,26.249,1.171,0,700.593,2198.507,0.933
"model_adequateOU mov opt",5.287,0.325,0,29.488,1.652,0,691.724,2858.814,0.951
