"term","i.Est","i.SE","i.p.value","s.Est","s.SE","s.p.value","r.Est","r.SE","r.p.value"
"(Intercept)",3.781,0.746,0,31.995,4.851,0,208.25,81.541,0.013
"model_typemode-shift",4.1,0.158,0.045,36.371,1.082,0,200.753,6.398,0.243
